0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	
0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	
-3.235945e-04	-4.341417e-04	-4.341417e-04	-3.235945e-04	-9.244303e-04	-2.067112e-03	-2.067112e-03	-4.341563e-04	-4.341563e-04	-9.708139e-04	-9.708139e-04	-4.341563e-04	-6.890159e-04	-4.341417e-04	-4.341417e-04	-3.235945e-04	
-3.668606e-04	-4.921884e-04	-4.921884e-04	-3.668606e-04	-9.726400e-04	-2.174914e-03	-2.174914e-03	-4.922050e-04	-4.922050e-04	-1.100616e-03	-1.100616e-03	-4.922050e-04	-7.249486e-04	-4.921884e-04	-4.921884e-04	-3.668606e-04	
-3.835736e-04	-5.146109e-04	-5.146109e-04	-3.835736e-04	-9.939854e-04	-2.222644e-03	-2.222644e-03	-5.146282e-04	-5.146282e-04	-1.150757e-03	-1.150757e-03	-5.146282e-04	-7.408582e-04	-5.146109e-04	-5.146109e-04	-3.835736e-04	
-3.952069e-04	-5.302185e-04	-5.302185e-04	-3.952069e-04	-1.009161e-03	-2.256578e-03	-2.256578e-03	-5.302363e-04	-5.302363e-04	-1.185658e-03	-1.185658e-03	-5.302363e-04	-7.521694e-04	-5.302185e-04	-5.302185e-04	-3.952069e-04	
-4.046163e-04	-5.428423e-04	-5.428423e-04	-4.046163e-04	-1.021247e-03	-2.283604e-03	-2.283604e-03	-5.428606e-04	-5.428606e-04	-1.213887e-03	-1.213887e-03	-5.428606e-04	-7.611775e-04	-5.428423e-04	-5.428423e-04	-4.046163e-04	
-4.125537e-04	-5.534912e-04	-5.534912e-04	-4.125537e-04	-1.031276e-03	-2.306028e-03	-2.306028e-03	-5.535099e-04	-5.535099e-04	-1.237700e-03	-1.237700e-03	-5.535099e-04	-7.686521e-04	-5.534912e-04	-5.534912e-04	-4.125537e-04	
-4.193948e-04	-5.626695e-04	-5.626695e-04	-4.193948e-04	-1.039807e-03	-2.325106e-03	-2.325106e-03	-5.626884e-04	-5.626884e-04	-1.258224e-03	-1.258224e-03	-5.626884e-04	-7.750112e-04	-5.626695e-04	-5.626695e-04	-4.193948e-04	
-4.253772e-04	-5.706956e-04	-5.706956e-04	-4.253772e-04	-1.047195e-03	-2.341625e-03	-2.341625e-03	-5.707148e-04	-5.707148e-04	-1.276171e-03	-1.276171e-03	-5.707148e-04	-7.805172e-04	-5.706956e-04	-5.706956e-04	-4.253772e-04	
